year,month,total,PRECIPITACION,FENOMENO
2011,1,3095754384.0,47.22,NIÑA
2011,2,2782107464.0,119.95,NIÑA
2011,3,3065082368.0,169.87,NIÑA
2011,4,3164938440.0,285.06,NIÑA
2011,5,3342092392.0,166.47,NORMAL
2011,6,3325454512.0,68.36,NORMAL
2011,7,3467221400.0,59.57,NORMAL
2011,8,3552692568.0,53.9,NORMAL
2011,9,3455170880.0,59.34,NORMAL
2011,10,3330718072.0,182.59,NIÑA
2011,11,3259539512.0,231.85,NIÑA
2011,12,3473735344.0,116.74,NIÑA
2012,1,3134292632.0,93.28,NIÑA
2012,2,3012260344.0,54.7,NIÑA
2012,3,3361437384.0,109.23,NIÑA
2012,4,3242393424.0,213.69,NIÑA
2012,5,3583375104.0,62.98,NORMAL
2012,6,3527407392.0,49.59,NORMAL
2012,7,3676718640.0,70.4,NORMAL
2012,8,3617734816.0,55.31,NORMAL
2012,9,3625785832.0,31.98,NORMAL
2012,10,3626759824.0,143.93,NORMAL
2012,11,3539530912.0,78.88,NORMAL
2012,12,3840998384.0,52.29,NORMAL
2013,1,3396671552.0,33.46,NORMAL
2013,2,3163000272.0,98.97,NORMAL
2013,3,3571613312.0,86.75,NORMAL
2013,4,3654606480.0,141.83,NORMAL
2013,5,3773000800.0,146.15,NORMAL
2013,6,3790324088.0,35.98,NORMAL
2013,7,3968734704.0,38.98,NORMAL
2013,8,3911456944.0,63.68,NORMAL
2013,9,3746133392.0,48.88,NORMAL
2013,10,3903609688.0,86.1,NORMAL
2013,11,3685072696.0,150.99,NORMAL
2013,12,3992088552.0,86.95,NORMAL
2014,1,3753994696.0,59.65,NORMAL
2014,2,3396140192.0,82.46,NORMAL
2014,3,3805888576.0,106.98,NORMAL
2014,4,3851111080.0,79.7,NORMAL
2014,5,4187224224.0,116.16,NORMAL
2014,6,4169801576.0,60.18,NORMAL
2014,7,4345820792.0,41.65,NORMAL
2014,8,4319795224.0,34.17,NORMAL
2014,9,4099675344.0,45.72,NORMAL
2014,10,4197058576.0,115.58,NORMAL
2014,11,4063708040.0,124.46,NORMAL
2014,12,4383052880.0,85.21,NORMAL
2015,1,3968714832.0,42.55,NORMAL
2015,2,3745840112.0,55.35,NORMAL
2015,3,4001417064.0,100.73,NORMAL
2015,4,4248408872.0,79.91,NORMAL
2015,5,4444751696.0,36.53,NORMAL
2015,6,4391940608.0,67.21,NIÑO
2015,7,4631029648.0,48.69,NIÑO
2015,8,4530010216.0,33.76,NIÑO
2015,9,4615550960.0,29.12,NIÑO
2015,10,4646507360.0,53.72,NIÑO
2015,11,4197944688.0,71.49,NIÑO
2015,12,4748802168.0,8.52,NIÑO
2016,1,4260240288.0,22.58,NIÑO
2016,2,3995533064.0,37.38,NIÑO
2016,3,4202964240.0,94.54,NIÑO
2016,4,4351654376.0,142.27,NORMAL
2016,5,4627168992.0,98.38,NORMAL
2016,6,4509022352.0,41.66,NORMAL
2016,7,4691644760.0,52.15,NORMAL
2016,8,4834774064.0,35.9,NORMAL
2016,9,4576636192.0,70.84,NORMAL
2016,10,4518487728.0,110.1,NORMAL
2016,11,4248311584.0,135.67,NORMAL
2016,12,4734929712.0,76.51,NORMAL
2017,1,4206061928.0,71.18,NORMAL
2017,2,4008567424.0,59.19,NORMAL
2017,3,4410309960.0,189.66,NORMAL
2017,4,4681578528.0,92.21,NORMAL
2017,5,4779155120.0,127.45,NORMAL
2017,6,4670784960.0,98.84,NORMAL
2017,7,4916010728.0,45.02,NORMAL
2017,8,4904075904.0,49.17,NORMAL
2017,9,4935766864.0,47.44,NORMAL
2017,10,4886918024.0,96.32,NORMAL
2017,11,4578406408.0,141.01,NORMAL
2017,12,4983540672.0,86.43,NORMAL
2018,1,4560847536.0,60.71,NORMAL
2018,2,4090968232.0,73.66,NORMAL
2018,3,4702777120.0,94.57,NORMAL
2018,4,4784291840.0,126.45,NORMAL
2018,5,4909386512.0,76.07,NORMAL
2018,6,5056648512.0,20.44,NIÑO
2018,7,5302385328.0,18.66,NIÑO
2018,8,5324768736.0,13.16,NIÑO
2018,9,5061482016.0,20.88,NIÑO
2018,10,4957829552.0,48.53,NIÑO
2018,11,4992293424.0,32.93,NIÑO
2018,12,5216189584.0,4.62,NIÑO
2019,1,5027657768.0,25.33,NIÑO
2019,2,4720433504.0,55.44,NIÑO
2019,3,5198631680.0,113.23,NIÑO
2019,4,5329973424.0,132.57,NORMAL
2019,5,5402119680.0,66.34,NORMAL
2019,6,5401055728.0,23.81,NORMAL
2019,7,5825214832.0,0.0,NORMAL
2019,8,5862586608.0,0.0,NORMAL
2019,9,5560785280.0,0.0,NORMAL
2019,10,5442846024.0,0.0,NORMAL
2019,11,5541147392.0,0.0,NORMAL
2019,12,5716958592.0,0.0,NORMAL
